# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 646 646 Franko
1 0 0 0 0 0 211 211 Niels
2 0 0 0 0 0 214 214 ZenBenMaster

0 0 0 0 0 0 647 647 Franko
1 0 0 0 0 0 212 212 Niels
2 0 0 0 0 0 215 215 ZenBenMaster

0 0 0 0 0 0 648 648 Franko
1 0 0 0 0 0 213 213 Niels
2 0 0 0 0 0 207 207 Noor

0 0 0 0 0 0 649 649 Franko
1 0 0 0 0 0 229 229 CarloCosmicWatch
2 0 0 0 0 0 216 216 ZenBenMaster

0 0 0 0 0 0 650 650 Franko
1 0 0 0 0 0 208 208 Cecile
2 0 0 0 0 0 227 227 rens

