# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 831 831 Franko
1 0 0 0 0 0 287 287 CarloCosmicWatch
2 0 0 0 0 0 287 287 rens

0 0 0 0 0 0 832 832 Franko
1 0 0 0 0 0 288 288 CarloCosmicWatch
2 0 0 0 0 0 266 266 Noor

0 0 0 0 0 0 833 833 Franko
1 0 0 0 0 0 289 289 CarloCosmicWatch
2 0 0 0 0 0 280 280 ZenBenMaster

0 0 0 0 0 0 834 834 Franko
1 0 0 0 0 0 268 268 Cecile
2 0 0 0 0 0 281 281 ZenBenMaster

0 0 0 0 0 0 835 835 Franko
1 0 0 0 0 0 269 269 Cecile
2 0 0 0 0 0 267 267 Noor

