# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 551 551 Franko
1 0 0 0 0 0 177 177 Cecile
2 0 0 0 0 0 184 184 ZenBenMaster

0 0 0 0 0 0 552 552 Franko
1 0 0 0 0 0 190 190 CarloCosmicWatch
2 0 0 0 0 0 191 191 rens

0 0 0 0 0 0 553 553 Franko
1 0 0 0 0 0 178 178 Cecile
2 0 0 0 0 0 185 185 ZenBenMaster

0 0 0 0 0 0 554 554 Franko
1 0 0 0 0 0 191 191 CarloCosmicWatch
2 0 0 0 0 0 186 186 ZenBenMaster

0 0 0 0 0 0 555 555 Franko
1 0 0 0 0 0 179 179 Cecile
2 0 0 0 0 0 192 192 rens

