# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 666 666 Franko
1 0 0 0 0 0 234 234 CarloCosmicWatch
2 0 0 0 0 0 215 215 Noor

0 0 0 0 0 0 667 667 Franko
1 0 0 0 0 0 235 235 CarloCosmicWatch
2 0 0 0 0 0 223 223 ZenBenMaster

0 0 0 0 0 0 668 668 Franko
1 0 0 0 0 0 213 213 Cecile
2 0 0 0 0 0 216 216 Noor

0 0 0 0 0 0 669 669 Franko
1 0 0 0 0 0 236 236 CarloCosmicWatch
2 0 0 0 0 0 217 217 Noor

0 0 0 0 0 0 670 670 Franko
1 0 0 0 0 0 221 221 Niels
2 0 0 0 0 0 224 224 ZenBenMaster

