# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 676 676 Franko
1 0 0 0 0 0 223 223 Niels
2 0 0 0 0 0 219 219 Noor

0 0 0 0 0 0 677 677 Franko
1 0 0 0 0 0 239 239 CarloCosmicWatch
2 0 0 0 0 0 220 220 Noor

0 0 0 0 0 0 678 678 Franko
1 0 0 0 0 0 240 240 CarloCosmicWatch
2 0 0 0 0 0 221 221 Noor

0 0 0 0 0 0 679 679 Franko
1 0 0 0 0 0 224 224 Niels
2 0 0 0 0 0 228 228 ZenBenMaster

0 0 0 0 0 0 680 680 Franko
1 0 0 0 0 0 225 225 Niels
2 0 0 0 0 0 229 229 ZenBenMaster

