# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 146 146 Franko
1 0 0 0 0 0 59 59 CarloCosmicWatch
2 0 0 0 0 0 56 56 rens

0 0 0 0 0 0 147 147 Franko
1 0 0 0 0 0 43 43 Cecile
2 0 0 0 0 0 57 57 rens

0 0 0 0 0 0 148 148 Franko
1 0 0 0 0 0 60 60 CarloCosmicWatch
2 0 0 0 0 0 58 58 rens

0 0 0 0 0 0 149 149 Franko
1 0 0 0 0 0 46 46 Niels
2 0 0 0 0 0 41 41 ZenBenMaster

0 0 0 0 0 0 150 150 Franko
1 0 0 0 0 0 61 61 CarloCosmicWatch
2 0 0 0 0 0 51 51 Noor

