# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 391 391 Franko
1 0 0 0 0 0 134 134 CarloCosmicWatch
2 0 0 0 0 0 130 130 ZenBenMaster

0 0 0 0 0 0 392 392 Franko
1 0 0 0 0 0 134 134 Niels
2 0 0 0 0 0 131 131 ZenBenMaster

0 0 0 0 0 0 393 393 Franko
1 0 0 0 0 0 135 135 CarloCosmicWatch
2 0 0 0 0 0 138 138 rens

0 0 0 0 0 0 394 394 Franko
1 0 0 0 0 0 135 135 Niels
2 0 0 0 0 0 125 125 Noor

0 0 0 0 0 0 395 395 Franko
1 0 0 0 0 0 136 136 Niels
2 0 0 0 0 0 126 126 Noor

