# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 381 381 Franko
1 0 0 0 0 0 121 121 Cecile
2 0 0 0 0 0 127 127 ZenBenMaster

0 0 0 0 0 0 382 382 Franko
1 0 0 0 0 0 130 130 Niels
2 0 0 0 0 0 128 128 ZenBenMaster

0 0 0 0 0 0 383 383 Franko
1 0 0 0 0 0 132 132 CarloCosmicWatch
2 0 0 0 0 0 119 119 Noor

0 0 0 0 0 0 384 384 Franko
1 0 0 0 0 0 131 131 Niels
2 0 0 0 0 0 120 120 Noor

0 0 0 0 0 0 385 385 Franko
1 0 0 0 0 0 122 122 Cecile
2 0 0 0 0 0 121 121 Noor

