# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 441 441 Franko
1 0 0 0 0 0 136 136 Cecile
2 0 0 0 0 0 157 157 rens

0 0 0 0 0 0 442 442 Franko
1 0 0 0 0 0 137 137 Cecile
2 0 0 0 0 0 141 141 Noor

0 0 0 0 0 0 443 443 Franko
1 0 0 0 0 0 152 152 CarloCosmicWatch
2 0 0 0 0 0 158 158 rens

0 0 0 0 0 0 444 444 Franko
1 0 0 0 0 0 138 138 Cecile
2 0 0 0 0 0 145 145 ZenBenMaster

0 0 0 0 0 0 445 445 Franko
1 0 0 0 0 0 155 155 Niels
2 0 0 0 0 0 146 146 ZenBenMaster

