# Calibration raw adc with signal threshold 18
12
31
455
24
142
Time [s], ADC 
0.3642618656158447, 56 
4.19371485710144, 108 
5.371572017669678, 30 
6.767904996871948, 216 
7.268601179122925, 28 
9.109426975250244, 51 
13.929704904556274, 30 
16.772604942321777, 89 
19.388179063796997, 109 
26.876570224761963, 19 
28.32880687713623, 92 
28.83035111427307, 51 
29.986053943634033, 384 
31.680660009384155, 35 
32.49728584289551, 17 
34.47250413894653, 19 
37.41468596458435, 60 
40.33089590072632, 39 
40.83204197883606, 18 
42.15204882621765, 24 
43.949301958084106, 152 
44.45107889175415, 415 
46.48413801193237, 236 
48.81840515136719, 70 
49.9105122089386, 44 
50.761529207229614, 19 
52.88944888114929, 31 
56.76758408546448, 18 
57.269323110580444, 46 
58.38694906234741, 21 
60.58006405830383, 30 
62.46693205833435, 21 
78.74265384674072, 56 
79.4679811000824, 56 
82.75489592552185, 120 
85.0795841217041, 31 
87.05136585235596, 34 
92.3626868724823, 76 
95.45426106452942, 29 
97.73671817779541, 120 
98.23851203918457, 24 
100.7361888885498, 28 
111.71383094787598, 17 
113.64822196960449, 31 
123.7783670425415, 82 
124.43406581878662, 19 
127.06358981132507, 19 
129.57457399368286, 24 
130.6927239894867, 17 
134.5655071735382, 32 
136.58138489723206, 127 
140.6615309715271, 141 
149.09841990470886, 35 
149.60449409484863, 508 
158.06815481185913, 184 
160.3214590549469, 110 
161.1766541004181, 207 
161.6850061416626, 31 
162.18574380874634, 76 
163.86206603050232, 25 
169.29108786582947, 71 
169.79380702972412, 33 
172.6162371635437, 166 
174.72140216827393, 15 
177.16960787773132, 25 
205.52782893180847, 102 
209.47416496276855, 271 
210.25750613212585, 17 
212.07665991783142, 21 
216.58580994606018, 113 
217.08629202842712, 61 
218.91495084762573, 19 
219.93222498893738, 103 
225.009761095047, 35 
234.02623891830444, 147 
237.28113412857056, 112 
248.0780291557312, 28 
250.57879614830017, 44 
256.6188359260559, 24 
257.8026599884033, 25 
258.9309959411621, 76 
268.29726791381836, 48 
270.8198299407959, 25 
271.63723492622375, 156 
272.1405110359192, 63 
275.0821919441223, 17 
277.28454399108887, 103 
281.58303904533386, 63 
282.08712816238403, 732 
284.0640320777893, 19 
291.7782220840454, 38 
297.904021024704, 30 
299.81998801231384, 21 
300.324098110199, 58 
300.8258719444275, 44 
302.719407081604, 24 
304.2821340560913, 30 
304.7838909626007, 498 
307.4420130252838, 21 
311.1496539115906, 71 
315.04150104522705, 113 
315.5433111190796, 36 
317.8206899166107, 31 
321.6138479709625, 114 
323.9801299571991, 227 
327.11019015312195, 147 
327.6119270324707, 21 
329.64483618736267, 31 
330.5432550907135, 24 
336.94787788391113, 355 
344.9592728614807, 115 
346.17082595825195, 67 
351.97814297676086, 38 
352.51836705207825, 127 
353.99426198005676, 39 
362.0310490131378, 25 
363.80080103874207, 30 
368.190554857254, 57 
386.1291410923004, 33 
387.946653842926, 56 
388.44902205467224, 24 
390.67182993888855, 24 
394.297336101532, 19 
394.8001139163971, 243 
398.01062512397766, 19 
398.5210599899292, 31 
1371.9763550758362, 39 
1373.4130702018738, 127 
1376.4993770122528, 66 
1378.3144161701202, 50 
1379.5996799468994, 193 
1382.6687428951263, 20 
1384.1701619625092, 38 
1384.8991129398346, 19 
1385.4590651988983, 19 
1386.822890996933, 30 
1387.5435910224915, 305 
1389.1993899345398, 71 
1393.1465909481049, 92 
1394.1115851402283, 412 
1401.8221609592438, 21 
1404.6858990192413, 19 
1409.535691022873, 24 
1410.2457678318024, 39 
1414.847205877304, 18 
1422.2343020439148, 25 
1424.6137549877167, 30 
1431.594878911972, 195 
1434.9446468353271, 263 
1435.44637799263, 94 
1436.1577360630035, 163 
1436.659483909607, 35 
1440.663962841034, 21 
1445.4140169620514, 44 
1449.0349700450897, 19 
1452.3900380134583, 159 
1453.9887681007385, 56 
1459.0771210193634, 31 
1460.9937720298767, 15 
1461.4955310821533, 25 
1461.997360944748, 49 
1462.4988811016083, 398 
1463.00057387352, 25 
1472.9173271656036, 97 
1476.9756770133972, 24 
1487.719173192978, 31 
1510.0455238819122, 79 
1510.8513760566711, 34 
1511.3531398773193, 71 
1514.964387178421, 31 
1521.3598568439484, 24 
1524.7924270629883, 67 
1525.2936050891876, 49 
1528.8478710651398, 24 
1531.3484630584717, 57 
1540.898710012436, 67 
1542.4831988811493, 24 
1544.793221950531, 24 
1545.295912027359, 17 
1545.7985651493073, 62 
1546.8406820297241, 199 
1550.3302149772644, 63 
1550.832545042038, 224 
1552.4624819755554, 83 
1554.3394010066986, 24 
1556.1450290679932, 51 
1556.647714138031, 48 
1557.6419279575348, 327 
1559.64493393898, 19 
1561.2688488960266, 28 
1563.1740548610687, 44 
1565.244297027588, 33 
1565.7470688819885, 67 
1742.4588050842285, 49 
1744.335047006607, 28 
1745.9759459495544, 39 
1746.74049782753, 17 
1749.473032951355, 179 
1751.1066591739655, 24 
1753.5535459518433, 440 
1754.0554060935974, 99 
1756.616737127304, 192 
1761.8121070861816, 56 
1762.4581530094147, 149 
1765.486023902893, 62 
1765.9905591011047, 312 
1767.7971980571747, 24 
1768.2989399433136, 18 
1772.7344088554382, 192 
1777.2611179351807, 45 
1777.7627148628235, 135 
1778.2644128799438, 25 
1778.7679738998413, 57 
1780.455321073532, 127 
1783.4055721759796, 19 
1786.8800339698792, 19 
1788.3645770549774, 31 
1790.0908851623535, 387 
1792.8083770275116, 79 
1793.310154914856, 30 
1794.7495579719543, 19 
1795.416706085205, 24 
1797.5505888462067, 24 
1798.5831279754639, 19 
1804.9537348747253, 29 
1805.4570281505585, 112 
1807.3992161750793, 49 
1808.9719710350037, 49 
1817.8864860534668, 28 
1819.102056980133, 99 
1824.254723072052, 259 
1824.756572008133, 48 
1827.586709022522, 165 
1830.9721879959106, 216 
1835.8317070007324, 33 
1837.6598510742188, 56 
1840.7766568660736, 34 
1845.9335191249847, 19 
1848.4552400112152, 514 
