# Detector name,, rank of fitted polynomial
# params, errors
Franko, , 2, #Ali
0.003629837212270415, 7.757789700282179e-06
3.478414501782597, 0.00590734817858347

BenRevival, , 3, #Ben
-2.8162669653252643e-07, 3.742310419742896e-08
0.004034249287920503, 4.145076258690689e-05
3.3935113560957992, 0.010682865694919552

Carlo,,2
0.0037136746492785456, 8.100328598536324e-06
3.4476960278532944, 0.005838342152151712

Cecile,,2
0.0046796151416541466, 2.7248230068428844e-05
3.372869282856043, 0.016429770129536128

Florian,,2
0.0037089444755404543, 7.821827698183003e-06
3.47903903179853, 0.005649815392073911

M,,10, 2
0.003708263260865258, 7.923945038437576e-06
3.490993883317685, 0.005602002467556888

MattiaCosmicWatch,,6, #Mattia
1.7951506338101343e-14, 2.9697521987388135e-15
-3.081927558543315e-11, 7.45939420187384e-12
1.560195899296705e-08, 7.029479065799503e-09
-1.6072257433225236e-06, 3.056092839118866e-06
0.003405147799660485, 0.0005992309059312076
3.6015265427934047, 0.04107671918908926

Niels,,10
0.0038727841984377794, 8.65642769620024e-06
3.444745021925544, 0.005959293026232586

Noor,,2
0.0038727841984377794, 8.65642769620024e-06
3.444745021925544, 0.005959293026232586

Oline,,10
1.794796405167337e-07, 3.702203739826847e-08
0.003516655552150845, 4.4551619269441195e-05
3.5168832097359086, 0.012506176591681923

rens,,10, # Rens
0.0037842909959684636, 8.092164873081037e-06
3.4224645912076044, 0.005845250415745784
