# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 1076 1076 Franko
1 0 0 0 0 0 365 365 Niels
2 0 0 0 0 0 336 336 Noor

0 0 0 0 0 0 1077 1077 Franko
1 0 0 0 0 0 366 366 Niels
2 0 0 0 0 0 337 337 Noor

0 0 0 0 0 0 1078 1078 Franko
1 0 0 0 0 0 351 351 Cecile
2 0 0 0 0 0 338 338 Noor

0 0 0 0 0 0 1079 1079 Franko
1 0 0 0 0 0 352 352 Cecile
2 0 0 0 0 0 376 376 rens

0 0 0 0 0 0 1080 1080 Franko
1 0 0 0 0 0 362 362 CarloCosmicWatch
2 0 0 0 0 0 339 339 Noor

