# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 401 401 Franko
1 0 0 0 0 0 139 139 Niels
2 0 0 0 0 0 129 129 Noor

0 0 0 0 0 0 402 402 Franko
1 0 0 0 0 0 126 126 Cecile
2 0 0 0 0 0 142 142 rens

0 0 0 0 0 0 403 403 Franko
1 0 0 0 0 0 138 138 CarloCosmicWatch
2 0 0 0 0 0 132 132 ZenBenMaster

0 0 0 0 0 0 404 404 Franko
1 0 0 0 0 0 127 127 Cecile
2 0 0 0 0 0 130 130 Noor

0 0 0 0 0 0 405 405 Franko
1 0 0 0 0 0 140 140 Niels
2 0 0 0 0 0 131 131 Noor

