# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 1301 1301 Franko
1 0 0 0 0 0 441 441 CarloCosmicWatch
2 0 0 0 0 0 449 449 rens

0 0 0 0 0 0 1302 1302 Franko
1 0 0 0 0 0 446 446 Niels
2 0 0 0 0 0 408 408 Noor

0 0 0 0 0 0 1303 1303 Franko
1 0 0 0 0 0 416 416 Cecile
2 0 0 0 0 0 409 409 Noor

0 0 0 0 0 0 1304 1304 Franko
1 0 0 0 0 0 442 442 CarloCosmicWatch
2 0 0 0 0 0 450 450 rens

0 0 0 0 0 0 1305 1305 Franko
1 0 0 0 0 0 417 417 Cecile
2 0 0 0 0 0 446 446 ZenBenMaster

0 0 0 0 0 0 1306 1306 Franko
1 0 0 0 0 0 443 443 CarloCosmicWatch
2 0 0 0 0 0 451 451 rens

0 0 0 0 0 0 1307 1307 Franko
1 0 0 0 0 0 447 447 Niels
2 0 0 0 0 0 452 452 rens

0 0 0 0 0 0 1308 1308 Franko
1 0 0 0 0 0 448 448 Niels
2 0 0 0 0 0 447 447 ZenBenMaster

0 0 0 0 0 0 1309 1309 Franko
1 0 0 0 0 0 418 418 Cecile
2 0 0 0 0 0 410 410 Noor

0 0 0 0 0 0 1310 1310 Franko
1 0 0 0 0 0 444 444 CarloCosmicWatch
2 0 0 0 0 0 453 453 rens

0 0 0 0 0 0 1311 1311 Franko
1 0 0 0 0 0 419 419 Cecile
2 0 0 0 0 0 448 448 ZenBenMaster

0 0 0 0 0 0 1312 1312 Franko
1 0 0 0 0 0 420 420 Cecile
2 0 0 0 0 0 454 454 rens

0 0 0 0 0 0 1313 1313 Franko
1 0 0 0 0 0 421 421 Cecile
2 0 0 0 0 0 411 411 Noor

0 0 0 0 0 0 1314 1314 Franko
1 0 0 0 0 0 422 422 Cecile
2 0 0 0 0 0 412 412 Noor

0 0 0 0 0 0 1315 1315 Franko
1 0 0 0 0 0 449 449 Niels
2 0 0 0 0 0 413 413 Noor

0 0 0 0 0 0 1316 1316 Franko
1 0 0 0 0 0 450 450 Niels
2 0 0 0 0 0 455 455 rens

0 0 0 0 0 0 1317 1317 Franko
1 0 0 0 0 0 445 445 CarloCosmicWatch
2 0 0 0 0 0 456 456 rens

0 0 0 0 0 0 1318 1318 Franko
1 0 0 0 0 0 423 423 Cecile
2 0 0 0 0 0 414 414 Noor

0 0 0 0 0 0 1319 1319 Franko
1 0 0 0 0 0 424 424 Cecile
2 0 0 0 0 0 449 449 ZenBenMaster

0 0 0 0 0 0 1320 1320 Franko
1 0 0 0 0 0 425 425 Cecile
2 0 0 0 0 0 415 415 Noor

0 0 0 0 0 0 1321 1321 Franko
1 0 0 0 0 0 446 446 CarloCosmicWatch
2 0 0 0 0 0 450 450 ZenBenMaster

0 0 0 0 0 0 1322 1322 Franko
1 0 0 0 0 0 426 426 Cecile
2 0 0 0 0 0 416 416 Noor

0 0 0 0 0 0 1323 1323 Franko
1 0 0 0 0 0 451 451 Niels
2 0 0 0 0 0 451 451 ZenBenMaster

0 0 0 0 0 0 1324 1324 Franko
1 0 0 0 0 0 427 427 Cecile
2 0 0 0 0 0 417 417 Noor

0 0 0 0 0 0 1325 1325 Franko
1 0 0 0 0 0 452 452 Niels
2 0 0 0 0 0 457 457 rens

0 0 0 0 0 0 1326 1326 Franko
1 0 0 0 0 0 453 453 Niels
2 0 0 0 0 0 458 458 rens

0 0 0 0 0 0 1327 1327 Franko
1 0 0 0 0 0 428 428 Cecile
2 0 0 0 0 0 459 459 rens

0 0 0 0 0 0 1328 1328 Franko
1 0 0 0 0 0 429 429 Cecile
2 0 0 0 0 0 418 418 Noor

0 0 0 0 0 0 1329 1329 Franko
1 0 0 0 0 0 430 430 Cecile
2 0 0 0 0 0 419 419 Noor

0 0 0 0 0 0 1330 1330 Franko
1 0 0 0 0 0 447 447 CarloCosmicWatch
2 0 0 0 0 0 452 452 ZenBenMaster

0 0 0 0 0 0 1331 1331 Franko
1 0 0 0 0 0 454 454 Niels
2 0 0 0 0 0 460 460 rens

0 0 0 0 0 0 1332 1332 Franko
1 0 0 0 0 0 431 431 Cecile
2 0 0 0 0 0 461 461 rens

0 0 0 0 0 0 1333 1333 Franko
1 0 0 0 0 0 448 448 CarloCosmicWatch
2 0 0 0 0 0 420 420 Noor

0 0 0 0 0 0 1334 1334 Franko
1 0 0 0 0 0 449 449 CarloCosmicWatch
2 0 0 0 0 0 453 453 ZenBenMaster

0 0 0 0 0 0 1335 1335 Franko
1 0 0 0 0 0 450 450 CarloCosmicWatch
2 0 0 0 0 0 462 462 rens

0 0 0 0 0 0 1336 1336 Franko
1 0 0 0 0 0 455 455 Niels
2 0 0 0 0 0 454 454 ZenBenMaster

0 0 0 0 0 0 1337 1337 Franko
1 0 0 0 0 0 432 432 Cecile
2 0 0 0 0 0 421 421 Noor

0 0 0 0 0 0 1338 1338 Franko
1 0 0 0 0 0 433 433 Cecile
2 0 0 0 0 0 463 463 rens

0 0 0 0 0 0 1339 1339 Franko
1 0 0 0 0 0 451 451 CarloCosmicWatch
2 0 0 0 0 0 464 464 rens

0 0 0 0 0 0 1340 1340 Franko
1 0 0 0 0 0 452 452 CarloCosmicWatch
2 0 0 0 0 0 465 465 rens

0 0 0 0 0 0 1341 1341 Franko
1 0 0 0 0 0 434 434 Cecile
2 0 0 0 0 0 466 466 rens

0 0 0 0 0 0 1342 1342 Franko
1 0 0 0 0 0 435 435 Cecile
2 0 0 0 0 0 422 422 Noor

0 0 0 0 0 0 1343 1343 Franko
1 0 0 0 0 0 436 436 Cecile
2 0 0 0 0 0 455 455 ZenBenMaster

0 0 0 0 0 0 1344 1344 Franko
1 0 0 0 0 0 437 437 Cecile
2 0 0 0 0 0 456 456 ZenBenMaster

0 0 0 0 0 0 1345 1345 Franko
1 0 0 0 0 0 453 453 CarloCosmicWatch
2 0 0 0 0 0 423 423 Noor

0 0 0 0 0 0 1346 1346 Franko
1 0 0 0 0 0 438 438 Cecile
2 0 0 0 0 0 424 424 Noor

0 0 0 0 0 0 1347 1347 Franko
1 0 0 0 0 0 456 456 Niels
2 0 0 0 0 0 457 457 ZenBenMaster

0 0 0 0 0 0 1348 1348 Franko
1 0 0 0 0 0 457 457 Niels
2 0 0 0 0 0 425 425 Noor

0 0 0 0 0 0 1349 1349 Franko
1 0 0 0 0 0 439 439 Cecile
2 0 0 0 0 0 467 467 rens

0 0 0 0 0 0 1350 1350 Franko
1 0 0 0 0 0 458 458 Niels
