# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 791 791 Franko
1 0 0 0 0 0 254 254 Cecile
2 0 0 0 0 0 257 257 Noor

0 0 0 0 0 0 792 792 Franko
1 0 0 0 0 0 268 268 Niels
2 0 0 0 0 0 270 270 rens

0 0 0 0 0 0 793 793 Franko
1 0 0 0 0 0 255 255 Cecile
2 0 0 0 0 0 271 271 rens

0 0 0 0 0 0 794 794 Franko
1 0 0 0 0 0 271 271 CarloCosmicWatch
2 0 0 0 0 0 272 272 rens

0 0 0 0 0 0 795 795 Franko
1 0 0 0 0 0 272 272 CarloCosmicWatch
2 0 0 0 0 0 266 266 ZenBenMaster

