# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 461 461 Franko
1 0 0 0 0 0 159 159 CarloCosmicWatch
2 0 0 0 0 0 152 152 Noor

0 0 0 0 0 0 462 462 Franko
1 0 0 0 0 0 144 144 Cecile
2 0 0 0 0 0 162 162 rens

0 0 0 0 0 0 463 463 Franko
1 0 0 0 0 0 145 145 Cecile
2 0 0 0 0 0 149 149 ZenBenMaster

0 0 0 0 0 0 464 464 Franko
1 0 0 0 0 0 160 160 CarloCosmicWatch
2 0 0 0 0 0 153 153 Noor

0 0 0 0 0 0 465 465 Franko
1 0 0 0 0 0 146 146 Cecile
2 0 0 0 0 0 154 154 Noor

