ADC, mV wed_noor_calib4_period05_replugged 
560.000000, 150.000000
553.000000, 150.000000
563.000000, 150.000000
568.000000, 150.000000
568.000000, 150.000000
556.000000, 150.000000
558.000000, 150.000000
551.000000, 150.000000
561.000000, 155.000000
572.000000, 155.000000
563.000000, 155.000000
568.000000, 155.000000
568.000000, 155.000000
569.000000, 155.000000
569.000000, 155.000000
572.000000, 155.000000
574.000000, 155.000000
575.000000, 155.000000
581.000000, 160.000000
575.000000, 160.000000
582.000000, 160.000000
591.000000, 160.000000
575.000000, 160.000000
588.000000, 160.000000
583.000000, 160.000000
591.000000, 160.000000
579.000000, 160.000000
581.000000, 160.000000
591.000000, 165.000000
600.000000, 165.000000
600.000000, 165.000000
591.000000, 165.000000
600.000000, 165.000000
588.000000, 165.000000
594.000000, 165.000000
600.000000, 165.000000
594.000000, 165.000000
600.000000, 165.000000
604.000000, 170.000000
595.000000, 170.000000
608.000000, 170.000000
604.000000, 170.000000
600.000000, 170.000000
600.000000, 170.000000
604.000000, 170.000000
600.000000, 170.000000
601.000000, 170.000000
611.000000, 170.000000
617.000000, 175.000000
611.000000, 175.000000
615.000000, 175.000000
615.000000, 175.000000
608.000000, 175.000000
609.000000, 175.000000
615.000000, 175.000000
608.000000, 175.000000
609.000000, 175.000000
615.000000, 175.000000
625.000000, 180.000000
632.000000, 180.000000
632.000000, 180.000000
625.000000, 180.000000
620.000000, 180.000000
627.000000, 180.000000
627.000000, 180.000000
624.000000, 180.000000
632.000000, 180.000000
622.000000, 180.000000
639.000000, 185.000000
636.000000, 185.000000
639.000000, 185.000000
638.000000, 185.000000
633.000000, 185.000000
632.000000, 185.000000
636.000000, 185.000000
627.000000, 185.000000
639.000000, 185.000000
632.000000, 185.000000
647.000000, 190.000000
645.000000, 190.000000
655.000000, 190.000000
639.000000, 190.000000
639.000000, 190.000000
652.000000, 190.000000
646.000000, 190.000000
639.000000, 190.000000
646.000000, 190.000000
639.000000, 190.000000
657.000000, 195.000000
664.000000, 195.000000
652.000000, 195.000000
655.000000, 195.000000
659.000000, 195.000000
654.000000, 195.000000
654.000000, 195.000000
649.000000, 195.000000
649.000000, 195.000000
664.000000, 195.000000
664.000000, 200.000000
664.000000, 200.000000
675.000000, 200.000000
670.000000, 200.000000
671.000000, 200.000000
671.000000, 200.000000
664.000000, 200.000000
659.000000, 200.000000
664.000000, 200.000000
668.000000, 200.000000
671.000000, 205.000000
686.000000, 205.000000
681.000000, 205.000000
679.000000, 205.000000
679.000000, 205.000000
684.000000, 205.000000
