# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 151 151 Franko
1 0 0 0 0 0 34 34 Cecile
2 0 0 0 0 0 56 56 Noor

0 0 0 0 0 0 152 152 Franko
1 0 0 0 0 0 56 56 Niels
2 0 0 0 0 0 57 57 Noor

0 0 0 0 0 0 153 153 Franko
1 0 0 0 0 0 35 35 Cecile
2 0 0 0 0 0 58 58 Noor

0 0 0 0 0 0 154 154 Franko
1 0 0 0 0 0 36 36 Cecile
2 0 0 0 0 0 52 52 ZenBenMaster

0 0 0 0 0 0 155 155 Franko
1 0 0 0 0 0 37 37 Cecile
2 0 0 0 0 0 53 53 ZenBenMaster

0 0 0 0 0 0 156 156 Franko
1 0 0 0 0 0 38 38 Cecile
2 0 0 0 0 0 45 45 rens

0 0 0 0 0 0 157 157 Franko
1 0 0 0 0 0 63 63 CarloCosmicWatch
2 0 0 0 0 0 54 54 ZenBenMaster

0 0 0 0 0 0 158 158 Franko
1 0 0 0 0 0 57 57 Niels
2 0 0 0 0 0 46 46 rens

0 0 0 0 0 0 159 159 Franko
1 0 0 0 0 0 64 64 CarloCosmicWatch
2 0 0 0 0 0 47 47 rens

0 0 0 0 0 0 160 160 Franko
1 0 0 0 0 0 39 39 Cecile
2 0 0 0 0 0 55 55 ZenBenMaster

0 0 0 0 0 0 161 161 Franko
1 0 0 0 0 0 58 58 Niels
2 0 0 0 0 0 48 48 rens

0 0 0 0 0 0 162 162 Franko
1 0 0 0 0 0 65 65 CarloCosmicWatch
2 0 0 0 0 0 56 56 ZenBenMaster

0 0 0 0 0 0 163 163 Franko
1 0 0 0 0 0 59 59 Niels
2 0 0 0 0 0 57 57 ZenBenMaster

0 0 0 0 0 0 164 164 Franko
1 0 0 0 0 0 60 60 Niels
2 0 0 0 0 0 58 58 ZenBenMaster

0 0 0 0 0 0 165 165 Franko
1 0 0 0 0 0 40 40 Cecile
2 0 0 0 0 0 59 59 Noor

0 0 0 0 0 0 166 166 Franko
1 0 0 0 0 0 61 61 Niels
2 0 0 0 0 0 49 49 rens

0 0 0 0 0 0 167 167 Franko
1 0 0 0 0 0 62 62 Niels
2 0 0 0 0 0 60 60 Noor

0 0 0 0 0 0 168 168 Franko
1 0 0 0 0 0 41 41 Cecile
2 0 0 0 0 0 50 50 rens

0 0 0 0 0 0 169 169 Franko
1 0 0 0 0 0 42 42 Cecile
2 0 0 0 0 0 61 61 Noor

0 0 0 0 0 0 170 170 Franko
1 0 0 0 0 0 43 43 Cecile
2 0 0 0 0 0 62 62 Noor

0 0 0 0 0 0 171 171 Franko
1 0 0 0 0 0 63 63 Niels
2 0 0 0 0 0 59 59 ZenBenMaster

0 0 0 0 0 0 172 172 Franko
1 0 0 0 0 0 64 64 Niels
2 0 0 0 0 0 60 60 ZenBenMaster

0 0 0 0 0 0 173 173 Franko
1 0 0 0 0 0 44 44 Cecile
2 0 0 0 0 0 61 61 ZenBenMaster

0 0 0 0 0 0 174 174 Franko
1 0 0 0 0 0 45 45 Cecile
2 0 0 0 0 0 63 63 Noor

0 0 0 0 0 0 175 175 Franko
1 0 0 0 0 0 66 66 CarloCosmicWatch
2 0 0 0 0 0 62 62 ZenBenMaster

0 0 0 0 0 0 176 176 Franko
1 0 0 0 0 0 67 67 CarloCosmicWatch
2 0 0 0 0 0 51 51 rens

0 0 0 0 0 0 177 177 Franko
1 0 0 0 0 0 65 65 Niels
2 0 0 0 0 0 52 52 rens

0 0 0 0 0 0 178 178 Franko
1 0 0 0 0 0 46 46 Cecile
2 0 0 0 0 0 64 64 Noor

0 0 0 0 0 0 179 179 Franko
1 0 0 0 0 0 68 68 CarloCosmicWatch
2 0 0 0 0 0 53 53 rens

0 0 0 0 0 0 180 180 Franko
1 0 0 0 0 0 69 69 CarloCosmicWatch
2 0 0 0 0 0 65 65 Noor

0 0 0 0 0 0 181 181 Franko
1 0 0 0 0 0 66 66 Niels
2 0 0 0 0 0 63 63 ZenBenMaster

0 0 0 0 0 0 182 182 Franko
1 0 0 0 0 0 70 70 CarloCosmicWatch
2 0 0 0 0 0 66 66 Noor

0 0 0 0 0 0 183 183 Franko
1 0 0 0 0 0 47 47 Cecile
2 0 0 0 0 0 54 54 rens

0 0 0 0 0 0 184 184 Franko
1 0 0 0 0 0 67 67 Niels
2 0 0 0 0 0 55 55 rens

0 0 0 0 0 0 185 185 Franko
1 0 0 0 0 0 71 71 CarloCosmicWatch
2 0 0 0 0 0 64 64 ZenBenMaster

0 0 0 0 0 0 186 186 Franko
1 0 0 0 0 0 72 72 CarloCosmicWatch
2 0 0 0 0 0 65 65 ZenBenMaster

0 0 0 0 0 0 187 187 Franko
1 0 0 0 0 0 68 68 Niels
2 0 0 0 0 0 66 66 ZenBenMaster

0 0 0 0 0 0 188 188 Franko
1 0 0 0 0 0 69 69 Niels
2 0 0 0 0 0 67 67 ZenBenMaster

0 0 0 0 0 0 189 189 Franko
1 0 0 0 0 0 48 48 Cecile
2 0 0 0 0 0 56 56 rens

0 0 0 0 0 0 190 190 Franko
1 0 0 0 0 0 49 49 Cecile
2 0 0 0 0 0 67 67 Noor

0 0 0 0 0 0 191 191 Franko
1 0 0 0 0 0 70 70 Niels
2 0 0 0 0 0 68 68 Noor

0 0 0 0 0 0 192 192 Franko
1 0 0 0 0 0 50 50 Cecile
2 0 0 0 0 0 69 69 Noor

0 0 0 0 0 0 193 193 Franko
1 0 0 0 0 0 73 73 CarloCosmicWatch
2 0 0 0 0 0 70 70 Noor

0 0 0 0 0 0 194 194 Franko
1 0 0 0 0 0 51 51 Cecile
2 0 0 0 0 0 68 68 ZenBenMaster

0 0 0 0 0 0 195 195 Franko
1 0 0 0 0 0 52 52 Cecile
2 0 0 0 0 0 69 69 ZenBenMaster

0 0 0 0 0 0 196 196 Franko
1 0 0 0 0 0 74 74 CarloCosmicWatch
2 0 0 0 0 0 71 71 Noor

0 0 0 0 0 0 197 197 Franko
1 0 0 0 0 0 71 71 Niels
2 0 0 0 0 0 72 72 Noor

0 0 0 0 0 0 198 198 Franko
1 0 0 0 0 0 53 53 Cecile
2 0 0 0 0 0 57 57 rens

0 0 0 0 0 0 199 199 Franko
1 0 0 0 0 0 72 72 Niels
2 0 0 0 0 0 73 73 Noor

0 0 0 0 0 0 200 200 Franko
1 0 0 0 0 0 75 75 CarloCosmicWatch
2 0 0 0 0 0 70 70 ZenBenMaster

