# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 2351 2351 Franko
1 0 0 0 0 0 804 804 Niels
2 0 0 0 0 0 792 792 ZenBenMaster

0 0 0 0 0 0 2352 2352 Franko
1 0 0 0 0 0 781 781 Cecile
2 0 0 0 0 0 793 793 ZenBenMaster

0 0 0 0 0 0 2353 2353 Franko
1 0 0 0 0 0 782 782 Cecile
2 0 0 0 0 0 745 745 Noor

0 0 0 0 0 0 2354 2354 Franko
1 0 0 0 0 0 783 783 Cecile
2 0 0 0 0 0 746 746 Noor

0 0 0 0 0 0 2355 2355 Franko
1 0 0 0 0 0 805 805 Niels
2 0 0 0 0 0 816 816 rens

0 0 0 0 0 0 2356 2356 Franko
1 0 0 0 0 0 806 806 Niels
2 0 0 0 0 0 817 817 rens

0 0 0 0 0 0 2357 2357 Franko
1 0 0 0 0 0 784 784 Cecile
2 0 0 0 0 0 794 794 ZenBenMaster

0 0 0 0 0 0 2358 2358 Franko
1 0 0 0 0 0 785 785 Cecile
2 0 0 0 0 0 795 795 ZenBenMaster

0 0 0 0 0 0 2359 2359 Franko
1 0 0 0 0 0 786 786 Cecile
2 0 0 0 0 0 796 796 ZenBenMaster

0 0 0 0 0 0 2360 2360 Franko
1 0 0 0 0 0 768 768 CarloCosmicWatch
2 0 0 0 0 0 797 797 ZenBenMaster

0 0 0 0 0 0 2361 2361 Franko
1 0 0 0 0 0 769 769 CarloCosmicWatch
2 0 0 0 0 0 747 747 Noor

0 0 0 0 0 0 2362 2362 Franko
1 0 0 0 0 0 770 770 CarloCosmicWatch
2 0 0 0 0 0 818 818 rens

0 0 0 0 0 0 2363 2363 Franko
1 0 0 0 0 0 807 807 Niels
2 0 0 0 0 0 748 748 Noor

0 0 0 0 0 0 2364 2364 Franko
1 0 0 0 0 0 771 771 CarloCosmicWatch
2 0 0 0 0 0 819 819 rens

0 0 0 0 0 0 2365 2365 Franko
1 0 0 0 0 0 808 808 Niels
2 0 0 0 0 0 798 798 ZenBenMaster

0 0 0 0 0 0 2366 2366 Franko
1 0 0 0 0 0 787 787 Cecile
2 0 0 0 0 0 820 820 rens

0 0 0 0 0 0 2367 2367 Franko
1 0 0 0 0 0 809 809 Niels
2 0 0 0 0 0 821 821 rens

0 0 0 0 0 0 2368 2368 Franko
1 0 0 0 0 0 810 810 Niels
2 0 0 0 0 0 822 822 rens

0 0 0 0 0 0 2369 2369 Franko
1 0 0 0 0 0 788 788 Cecile
2 0 0 0 0 0 823 823 rens

0 0 0 0 0 0 2370 2370 Franko
1 0 0 0 0 0 772 772 CarloCosmicWatch
2 0 0 0 0 0 749 749 Noor

0 0 0 0 0 0 2371 2371 Franko
1 0 0 0 0 0 811 811 Niels
2 0 0 0 0 0 799 799 ZenBenMaster

0 0 0 0 0 0 2372 2372 Franko
1 0 0 0 0 0 789 789 Cecile
2 0 0 0 0 0 800 800 ZenBenMaster

0 0 0 0 0 0 2373 2373 Franko
1 0 0 0 0 0 812 812 Niels
2 0 0 0 0 0 750 750 Noor

0 0 0 0 0 0 2374 2374 Franko
