# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 1851 1851 Franko
1 0 0 0 0 0 602 602 CarloCosmicWatch
2 0 0 0 0 0 650 650 rens

0 0 0 0 0 0 1852 1852 Franko
1 0 0 0 0 0 616 616 Cecile
2 0 0 0 0 0 631 631 ZenBenMaster

0 0 0 0 0 0 1853 1853 Franko
1 0 0 0 0 0 603 603 CarloCosmicWatch
2 0 0 0 0 0 651 651 rens

0 0 0 0 0 0 1854 1854 Franko
1 0 0 0 0 0 635 635 Niels
2 0 0 0 0 0 572 572 Noor

0 0 0 0 0 0 1855 1855 Franko
1 0 0 0 0 0 617 617 Cecile
2 0 0 0 0 0 573 573 Noor

0 0 0 0 0 0 1856 1856 Franko
1 0 0 0 0 0 618 618 Cecile
2 0 0 0 0 0 574 574 Noor

0 0 0 0 0 0 1857 1857 Franko
1 0 0 0 0 0 619 619 Cecile
2 0 0 0 0 0 632 632 ZenBenMaster

0 0 0 0 0 0 1858 1858 Franko
1 0 0 0 0 0 604 604 CarloCosmicWatch
2 0 0 0 0 0 633 633 ZenBenMaster

0 0 0 0 0 0 1859 1859 Franko
1 0 0 0 0 0 620 620 Cecile
2 0 0 0 0 0 634 634 ZenBenMaster

0 0 0 0 0 0 1860 1860 Franko
1 0 0 0 0 0 621 621 Cecile
2 0 0 0 0 0 635 635 ZenBenMaster

0 0 0 0 0 0 1861 1861 Franko
1 0 0 0 0 0 605 605 CarloCosmicWatch
2 0 0 0 0 0 575 575 Noor

0 0 0 0 0 0 1862 1862 Franko
1 0 0 0 0 0 606 606 CarloCosmicWatch
2 0 0 0 0 0 576 576 Noor

0 0 0 0 0 0 1863 1863 Franko
1 0 0 0 0 0 622 622 Cecile
2 0 0 0 0 0 636 636 ZenBenMaster

0 0 0 0 0 0 1864 1864 Franko
1 0 0 0 0 0 623 623 Cecile
2 0 0 0 0 0 652 652 rens

0 0 0 0 0 0 1865 1865 Franko
1 0 0 0 0 0 624 624 Cecile
2 0 0 0 0 0 637 637 ZenBenMaster

0 0 0 0 0 0 1866 1866 Franko
1 0 0 0 0 0 607 607 CarloCosmicWatch
2 0 0 0 0 0 577 577 Noor

0 0 0 0 0 0 1867 1867 Franko
1 0 0 0 0 0 636 636 Niels
2 0 0 0 0 0 578 578 Noor

0 0 0 0 0 0 1868 1868 Franko
1 0 0 0 0 0 637 637 Niels
2 0 0 0 0 0 653 653 rens

0 0 0 0 0 0 1869 1869 Franko
1 0 0 0 0 0 608 608 CarloCosmicWatch
2 0 0 0 0 0 654 654 rens

0 0 0 0 0 0 1870 1870 Franko
1 0 0 0 0 0 609 609 CarloCosmicWatch
2 0 0 0 0 0 655 655 rens

0 0 0 0 0 0 1871 1871 Franko
1 0 0 0 0 0 638 638 Niels
2 0 0 0 0 0 656 656 rens

0 0 0 0 0 0 1872 1872 Franko
1 0 0 0 0 0 639 639 Niels
2 0 0 0 0 0 657 657 rens

0 0 0 0 0 0 1873 1873 Franko
1 0 0 0 0 0 625 625 Cecile
2 0 0 0 0 0 579 579 Noor

0 0 0 0 0 0 1874 1874 Franko
1 0 0 0 0 0 640 640 Niels
2 0 0 0 0 0 658 658 rens

0 0 0 0 0 0 1875 1875 Franko
1 0 0 0 0 0 641 641 Niels
2 0 0 0 0 0 638 638 ZenBenMaster

0 0 0 0 0 0 1876 1876 Franko
1 0 0 0 0 0 610 610 CarloCosmicWatch
2 0 0 0 0 0 659 659 rens

0 0 0 0 0 0 1877 1877 Franko
1 0 0 0 0 0 642 642 Niels
2 0 0 0 0 0 660 660 rens

0 0 0 0 0 0 1878 1878 Franko
1 0 0 0 0 0 643 643 Niels
2 0 0 0 0 0 639 639 ZenBenMaster

0 0 0 0 0 0 1879 1879 Franko
1 0 0 0 0 0 626 626 Cecile
2 0 0 0 0 0 661 661 rens

0 0 0 0 0 0 1880 1880 Franko
1 0 0 0 0 0 644 644 Niels
2 0 0 0 0 0 662 662 rens

0 0 0 0 0 0 1881 1881 Franko
1 0 0 0 0 0 627 627 Cecile
2 0 0 0 0 0 580 580 Noor

0 0 0 0 0 0 1882 1882 Franko
1 0 0 0 0 0 628 628 Cecile
2 0 0 0 0 0 640 640 ZenBenMaster

0 0 0 0 0 0 1883 1883 Franko
1 0 0 0 0 0 629 629 Cecile
2 0 0 0 0 0 641 641 ZenBenMaster

0 0 0 0 0 0 1884 1884 Franko
1 0 0 0 0 0 611 611 CarloCosmicWatch
2 0 0 0 0 0 663 663 rens

0 0 0 0 0 0 1885 1885 Franko
1 0 0 0 0 0 645 645 Niels
2 0 0 0 0 0 581 581 Noor

0 0 0 0 0 0 1886 1886 Franko
1 0 0 0 0 0 612 612 CarloCosmicWatch
2 0 0 0 0 0 582 582 Noor

0 0 0 0 0 0 1887 1887 Franko
1 0 0 0 0 0 630 630 Cecile
2 0 0 0 0 0 664 664 rens

0 0 0 0 0 0 1888 1888 Franko
1 0 0 0 0 0 646 646 Niels
2 0 0 0 0 0 642 642 ZenBenMaster

0 0 0 0 0 0 1889 1889 Franko
1 0 0 0 0 0 647 647 Niels
2 0 0 0 0 0 583 583 Noor

0 0 0 0 0 0 1890 1890 Franko
1 0 0 0 0 0 613 613 CarloCosmicWatch
2 0 0 0 0 0 643 643 ZenBenMaster

0 0 0 0 0 0 1891 1891 Franko
1 0 0 0 0 0 648 648 Niels
2 0 0 0 0 0 584 584 Noor

0 0 0 0 0 0 1892 1892 Franko
1 0 0 0 0 0 614 614 CarloCosmicWatch
2 0 0 0 0 0 665 665 rens

0 0 0 0 0 0 1893 1893 Franko
1 0 0 0 0 0 631 631 Cecile
2 0 0 0 0 0 644 644 ZenBenMaster

0 0 0 0 0 0 1894 1894 Franko
1 0 0 0 0 0 649 649 Niels
2 0 0 0 0 0 645 645 ZenBenMaster

0 0 0 0 0 0 1895 1895 Franko
1 0 0 0 0 0 650 650 Niels
2 0 0 0 0 0 666 666 rens

0 0 0 0 0 0 1896 1896 Franko
1 0 0 0 0 0 615 615 CarloCosmicWatch
2 0 0 0 0 0 585 585 Noor

0 0 0 0 0 0 1897 1897 Franko
1 0 0 0 0 0 616 616 CarloCosmicWatch
2 0 0 0 0 0 586 586 Noor

0 0 0 0 0 0 1898 1898 Franko
1 0 0 0 0 0 632 632 Cecile
2 0 0 0 0 0 587 587 Noor

0 0 0 0 0 0 1899 1899 Franko
1 0 0 0 0 0 633 633 Cecile
2 0 0 0 0 0 588 588 Noor

0 0 0 0 0 0 1900 1900 Franko
1 0 0 0 0 0 651 651 Niels
2 0 0 0 0 0 667 667 rens

