# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 1051 1051 Franko
1 0 0 0 0 0 317 317 Cecile
2 0 0 0 0 0 366 366 ZenBenMaster

0 0 0 0 0 0 1052 1052 Franko
1 0 0 0 0 0 377 377 Niels
2 0 0 0 0 0 366 366 rens

0 0 0 0 0 0 1053 1053 Franko
1 0 0 0 0 0 378 378 Niels
2 0 0 0 0 0 367 367 rens

0 0 0 0 0 0 1054 1054 Franko
1 0 0 0 0 0 359 359 CarloCosmicWatch
2 0 0 0 0 0 367 367 ZenBenMaster

0 0 0 0 0 0 1055 1055 Franko
1 0 0 0 0 0 379 379 Niels
2 0 0 0 0 0 368 368 ZenBenMaster

0 0 0 0 0 0 1056 1056 Franko
1 0 0 0 0 0 318 318 Cecile
2 0 0 0 0 0 321 321 Noor

0 0 0 0 0 0 1057 1057 Franko
1 0 0 0 0 0 380 380 Niels
2 0 0 0 0 0 322 322 Noor

0 0 0 0 0 0 1058 1058 Franko
1 0 0 0 0 0 319 319 Cecile
2 0 0 0 0 0 369 369 ZenBenMaster

0 0 0 0 0 0 1059 1059 Franko
1 0 0 0 0 0 360 360 CarloCosmicWatch
2 0 0 0 0 0 368 368 rens

0 0 0 0 0 0 1060 1060 Franko
1 0 0 0 0 0 381 381 Niels
2 0 0 0 0 0 323 323 Noor

0 0 0 0 0 0 1061 1061 Franko
1 0 0 0 0 0 320 320 Cecile
2 0 0 0 0 0 370 370 ZenBenMaster

0 0 0 0 0 0 1062 1062 Franko
1 0 0 0 0 0 321 321 Cecile
2 0 0 0 0 0 324 324 Noor

0 0 0 0 0 0 1063 1063 Franko
1 0 0 0 0 0 322 322 Cecile
2 0 0 0 0 0 371 371 ZenBenMaster

0 0 0 0 0 0 1064 1064 Franko
1 0 0 0 0 0 361 361 CarloCosmicWatch
2 0 0 0 0 0 369 369 rens

0 0 0 0 0 0 1065 1065 Franko
1 0 0 0 0 0 362 362 CarloCosmicWatch
2 0 0 0 0 0 325 325 Noor

0 0 0 0 0 0 1066 1066 Franko
1 0 0 0 0 0 382 382 Niels
2 0 0 0 0 0 370 370 rens

0 0 0 0 0 0 1067 1067 Franko
1 0 0 0 0 0 383 383 Niels
