# Calibration raw adc with signal threshold 50
AMPLITUDE, 0.02

48
51
48
48
55
51
48
51
51
51
AMPLITUDE, 0.025
83
87
83
84
78
92
89
86
83
88
AMPLITUDE, 0.030000000000000002
138
142
142
137
143
143
143
143
137
143
AMPLITUDE, 0.035
176
181
184
190
172
176
176
179
184
179
AMPLITUDE, 0.04
217
212
221
211
210
216
210
209
216
211
AMPLITUDE, 0.045
241
243
236
241
245
248
246
241
238
242
AMPLITUDE, 0.049999999999999996
261
266
263
269
268
275
263
263
269
263
AMPLITUDE, 0.05499999999999999
291
291
291
287
284
287
287
284
291
287
AMPLITUDE, 0.05999999999999999
304
313
312
307
307
310
317
305
314
313
AMPLITUDE, 0.06499999999999999
326
319
319
319
313
327
319
319
331
319
AMPLITUDE, 0.06999999999999999
345
345
347
342
344
352
348
355
339
337
AMPLITUDE, 0.075
355
359
361
355
364
359
357
356
368
365
AMPLITUDE, 0.08
376
366
371
377
371
371
377
376
384
387
AMPLITUDE, 0.085
390
399
398
386
387
387
391
384
387
391
AMPLITUDE, 0.09000000000000001
398
397
403
399
397
348
399
399
399
401
AMPLITUDE, 0.09500000000000001
415
415
423
409
412
421
408
415
415
409
AMPLITUDE, 0.10000000000000002
433
423
419
423
435
430
423
422
423
432
AMPLITUDE, 0.10500000000000002
433
435
440
433
437
440
440
444
441
440
AMPLITUDE, 0.11000000000000003
440
435
449
448
444
440
448
440
444
449
AMPLITUDE, 0.11500000000000003
448
449
455
442
451
451
441
440
448
448
AMPLITUDE, 0.12000000000000004
455
461
454
448
448
449
455
455
451
449
AMPLITUDE, 0.12500000000000003
460
463
463
462
463
460
457
463
462
473
AMPLITUDE, 0.13000000000000003
463
480
480
472
483
478
463
470
463
480
AMPLITUDE, 0.13500000000000004
481
480
480
476
487
472
481
475
473
473
AMPLITUDE, 0.14000000000000004
487
494
487
494
483
480
487
494
487
483
AMPLITUDE, 0.14500000000000005
502
487
504
501
497
494
505
496
505
494
AMPLITUDE, 0.15000000000000005
504
510
519
499
514
517
512
510
513
508
AMPLITUDE, 0.15500000000000005
527
521
515
513
513
515
518
510
525
510
AMPLITUDE, 0.16000000000000006
537
529
527
536
536
533
537
541
536
529
AMPLITUDE, 0.16500000000000006
540
536
543
536
540
543
536
533
542
536
AMPLITUDE, 0.17000000000000007
547
540
551
543
543
540
549
543
540
550
AMPLITUDE, 0.17500000000000007
551
555
556
550
550
558
551
543
551
543
AMPLITUDE, 0.18000000000000008
551
556
547
551
560
560
558
556
560
560
AMPLITUDE, 0.18500000000000008
561
551
551
564
551
560
563
555
556
560
AMPLITUDE, 0.19000000000000009
569
563
568
560
560
574
562
556
563
560
AMPLITUDE, 0.1950000000000001
560
572
556
574
560
568
574
572
561
569
AMPLITUDE, 0.2000000000000001
568
566
568
572
581
569
572
565
575
575
AMPLITUDE, 0.2050000000000001
575
583
586
575
575
581
568
572
583
568
AMPLITUDE, 0.2100000000000001
575
585
568
579
588
583
583
574
585
582
AMPLITUDE, 0.2150000000000001
589
590
575
583
587
588
579
583
575
583
AMPLITUDE, 0.2200000000000001
575
583
590
587
583
589
583
595
575
588
AMPLITUDE, 0.22500000000000012
591
591
583
594
589
598
600
591
600
600
AMPLITUDE, 0.23000000000000012
591
597
605
608
595
595
601
600
600
600
AMPLITUDE, 0.23500000000000013
600
603
600
608
608
608
608
604
600
601
AMPLITUDE, 0.24000000000000013
609
609
591
609
609
608
611
609
604
611
AMPLITUDE, 0.24500000000000013
608
600
609
615
615
619
617
608
608
604
AMPLITUDE, 0.2500000000000001
600
615
608
615
621
615
615
615
620
608
AMPLITUDE, 0.2550000000000001
613
611
632
621
621
615
615
620
624
