# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 231 231 Franko
1 0 0 0 0 0 78 78 CarloCosmicWatch
2 0 0 0 0 0 79 79 Noor

0 0 0 0 0 0 232 232 Franko
1 0 0 0 0 0 73 73 Cecile
2 0 0 0 0 0 77 77 rens

0 0 0 0 0 0 233 233 Franko
1 0 0 0 0 0 79 79 CarloCosmicWatch
2 0 0 0 0 0 78 78 rens

0 0 0 0 0 0 234 234 Franko
1 0 0 0 0 0 80 80 CarloCosmicWatch
2 0 0 0 0 0 77 77 ZenBenMaster

0 0 0 0 0 0 235 235 Franko
1 0 0 0 0 0 82 82 Niels
2 0 0 0 0 0 79 79 rens

