# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 331 331 Franko
1 0 0 0 0 0 118 118 Cecile
2 0 0 0 0 0 117 117 Noor

0 0 0 0 0 0 332 332 Franko
1 0 0 0 0 0 113 113 Niels
2 0 0 0 0 0 107 107 ZenBenMaster

0 0 0 0 0 0 333 333 Franko
1 0 0 0 0 0 102 102 CarloCosmicWatch
2 0 0 0 0 0 108 108 ZenBenMaster

0 0 0 0 0 0 334 334 Franko
1 0 0 0 0 0 103 103 CarloCosmicWatch
2 0 0 0 0 0 118 118 Noor

0 0 0 0 0 0 335 335 Franko
1 0 0 0 0 0 104 104 CarloCosmicWatch
2 0 0 0 0 0 109 109 rens

