Filename, Lambda, Lambda error, Amplitude, Amplitude error
NewFile0, 0.0040493871645847085, 6.408634345660834e-09, 0.016598439750501473, 6.02928499915913e-08
NewFile1, 0.0037656413584516955, 7.3812642070815055e-09, 0.013758359812551985, 5.473728941560975e-08
NewFile2, 0.004467536068644889, 6.078189697844855e-09, 0.014822162225370748, 3.7901951406825344e-08
NewFile3, 0.004156313699403815, 7.974750912153495e-09, 0.01589168201926275, 6.767139448955112e-08
NewFile4, 0.004260999283560186, 6.639560178081031e-09, 0.016457584408548224, 5.7707043682730756e-08
NewFile5, 0.0038192388991766415, 5.342215705490828e-09, 0.012883157906821334, 3.280563966360624e-08
NewFile6, 0.004545217754954449, 9.432299898152475e-09, 0.013036567831180233, 4.2487552421111065e-08
NewFile7, 0.0033109021824784036, 5.823179365867782e-09, 0.010267419676163531, 3.071266706036499e-08
NewFile8, 0.0034356505647330205, 6.127483113742673e-09, 0.014584931043984107, 6.077701885367531e-08
NewFile9, 0.00416497381124192, 4.135493322054366e-09, 0.018927239238716174, 4.4891613456258176e-08
