# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 371 371 Franko
1 0 0 0 0 0 128 128 CarloCosmicWatch
2 0 0 0 0 0 115 115 Noor

0 0 0 0 0 0 372 372 Franko
1 0 0 0 0 0 129 129 CarloCosmicWatch
2 0 0 0 0 0 133 133 rens

0 0 0 0 0 0 373 373 Franko
1 0 0 0 0 0 130 130 CarloCosmicWatch
2 0 0 0 0 0 134 134 rens

0 0 0 0 0 0 374 374 Franko
1 0 0 0 0 0 126 126 Niels
2 0 0 0 0 0 116 116 Noor

0 0 0 0 0 0 375 375 Franko
1 0 0 0 0 0 119 119 Cecile
2 0 0 0 0 0 135 135 rens

