# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 1011 1011 Franko
1 0 0 0 0 0 342 342 CarloCosmicWatch
2 0 0 0 0 0 350 350 rens

0 0 0 0 0 0 1012 1012 Franko
1 0 0 0 0 0 331 331 Cecile
2 0 0 0 0 0 351 351 rens

0 0 0 0 0 0 1013 1013 Franko
1 0 0 0 0 0 340 340 Niels
2 0 0 0 0 0 340 340 ZenBenMaster

0 0 0 0 0 0 1014 1014 Franko
1 0 0 0 0 0 343 343 CarloCosmicWatch
2 0 0 0 0 0 341 341 ZenBenMaster

0 0 0 0 0 0 1015 1015 Franko
1 0 0 0 0 0 332 332 Cecile
2 0 0 0 0 0 342 342 ZenBenMaster

