# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 581 581 Franko
1 0 0 0 0 0 193 193 Niels
2 0 0 0 0 0 185 185 Noor

0 0 0 0 0 0 582 582 Franko
1 0 0 0 0 0 189 189 Cecile
2 0 0 0 0 0 197 197 ZenBenMaster

0 0 0 0 0 0 583 583 Franko
1 0 0 0 0 0 194 194 Niels
2 0 0 0 0 0 198 198 ZenBenMaster

0 0 0 0 0 0 584 584 Franko
1 0 0 0 0 0 190 190 Cecile
2 0 0 0 0 0 186 186 Noor

0 0 0 0 0 0 585 585 Franko
1 0 0 0 0 0 201 201 CarloCosmicWatch
2 0 0 0 0 0 187 187 Noor

