# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 956 956 Franko
1 0 0 0 0 0 326 326 CarloCosmicWatch
2 0 0 0 0 0 310 310 Noor

0 0 0 0 0 0 957 957 Franko
1 0 0 0 0 0 313 313 Cecile
2 0 0 0 0 0 311 311 Noor

0 0 0 0 0 0 958 958 Franko
1 0 0 0 0 0 319 319 Niels
2 0 0 0 0 0 328 328 rens

0 0 0 0 0 0 959 959 Franko
1 0 0 0 0 0 327 327 CarloCosmicWatch
2 0 0 0 0 0 312 312 Noor

0 0 0 0 0 0 960 960 Franko
1 0 0 0 0 0 314 314 Cecile
2 0 0 0 0 0 329 329 rens

