# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 561 561 Franko
1 0 0 0 0 0 186 186 Niels
2 0 0 0 0 0 179 179 Noor

0 0 0 0 0 0 562 562 Franko
1 0 0 0 0 0 193 193 CarloCosmicWatch
2 0 0 0 0 0 189 189 ZenBenMaster

0 0 0 0 0 0 563 563 Franko
1 0 0 0 0 0 187 187 Niels
2 0 0 0 0 0 180 180 Noor

0 0 0 0 0 0 564 564 Franko
1 0 0 0 0 0 194 194 CarloCosmicWatch
2 0 0 0 0 0 195 195 rens

0 0 0 0 0 0 565 565 Franko
1 0 0 0 0 0 188 188 Niels
2 0 0 0 0 0 190 190 ZenBenMaster

