Amplitude, 30

14

20

17

22

14

Amplitude, 80

37

38

38

37.6

42

36.8

37.6

38

37

Amplitude, 130

57

57.2

61

65

58

61.2

60

57

59

58.4

Amplitude, 180

84

78

79

88

78

84

80

80.2

86

84

79

Amplitude, 230

104

106

104

106

104

108

104

110

106

104

Amplitude, 280

124

128

128

126

124

126

128

126

Amplitude, 330

148

146

150

148

150

148

152

150

156

148

150

152

150

Amplitude, 380

170

174

168

172

170

172

170

172

168

170

Amplitude, 430

190

196

192

192

190

196

192

194

194

192

198

Amplitude, 480

212

216

214

214

212

216

212

212

214

212
