Amplitude, 30
16
14

18

14.4

14

15.2

16

Amplitude, 80

37.6

41

38

37.6

40

37.2

41.2

39

37

Amplitude, 130

56.8

59

62

63

62.4

57

61

50

59

Amplitude, 180

79

81

82

83

79

80

79.2

78.4

80

79

83

Amplitude, 230

101

106

102

101

102

101

102

100

104

106

105

102

101

102

Amplitude, 280

126

124

126

128

126

130

126

124

130

126

124

Amplitude, 330

148

146

152

148

150

148

152

Amplitude, 380

172

168

174

170

178

172

172

174

168

170

Amplitude, 430

190

188

194

190

194

192

190

190

192

190

196

188

Amplitude, 480

212

214

212

214

212

214

218

216

212

216

212
