# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 406 406 Franko
1 0 0 0 0 0 136 136 Niels
2 0 0 0 0 0 138 138 ZenBenMaster

0 0 0 0 0 0 407 407 Franko
1 0 0 0 0 0 127 127 CarloCosmicWatch
2 0 0 0 0 0 139 139 ZenBenMaster

0 0 0 0 0 0 408 408 Franko
1 0 0 0 0 0 128 128 CarloCosmicWatch
2 0 0 0 0 0 131 131 rens

0 0 0 0 0 0 409 409 Franko
1 0 0 0 0 0 137 137 Niels
2 0 0 0 0 0 140 140 ZenBenMaster

0 0 0 0 0 0 410 410 Franko
1 0 0 0 0 0 145 145 Cecile
2 0 0 0 0 0 139 139 Noor

