# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 466 466 Franko
1 0 0 0 0 0 148 148 CarloCosmicWatch
2 0 0 0 0 0 156 156 Noor

0 0 0 0 0 0 467 467 Franko
1 0 0 0 0 0 158 158 Niels
2 0 0 0 0 0 162 162 ZenBenMaster

0 0 0 0 0 0 468 468 Franko
1 0 0 0 0 0 159 159 Niels
2 0 0 0 0 0 163 163 ZenBenMaster

0 0 0 0 0 0 469 469 Franko
1 0 0 0 0 0 162 162 Cecile
2 0 0 0 0 0 150 150 rens

0 0 0 0 0 0 470 470 Franko
1 0 0 0 0 0 163 163 Cecile
2 0 0 0 0 0 164 164 ZenBenMaster

